city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,Broken Hill,-31.95,141.4333,56.91,54,100,18.41,AU,6/22/21 2:46
266,Meulaboh,4.1363,96.1285,76.87,87,100,6.87,ID,6/22/21 2:46
267,Baghdad,33.3406,44.4009,76.91,27,0,5.75,IQ,6/22/21 2:44
268,Nyurba,63.2842,118.3319,89.01,30,69,3.4,RU,6/22/21 2:46
269,Barroquinha,-3.0189,-41.1361,71.24,97,7,4.47,BR,6/22/21 2:46
270,Cidreira,-30.1811,-50.2056,58.05,92,97,2.24,BR,6/22/21 2:46
271,Kuito,-12.3833,16.9333,49.1,57,34,3.71,AO,6/22/21 2:46
272,Mbandaka,0.0487,18.2603,69.57,97,100,6.02,CD,6/22/21 2:46
273,Longyearbyen,78.2186,15.6401,39.04,87,75,9.22,SJ,6/22/21 2:46
274,Turbo,8.0937,-76.7269,76.57,91,100,6.24,CO,6/22/21 2:46
275,Kroya,-7.6331,109.2461,83.19,74,95,4.94,ID,6/22/21 2:46
276,Vanimo,-2.6741,141.3028,83.43,72,65,7.83,PG,6/22/21 2:46
277,Raudeberg,61.9875,5.1352,50.67,91,66,12.03,NO,6/22/21 2:46
278,Gupitan,7.7758,125.6406,88.72,62,89,1.95,PH,6/22/21 2:46
279,Nelson Bay,-32.7167,152.15,63.28,86,50,1.99,AU,6/22/21 2:46
280,Demba,-5.51,22.2667,65.91,55,48,3.29,CD,6/22/21 2:46
281,Haines Junction,60.7522,-137.5108,55.35,47,87,16.11,CA,6/22/21 2:44
282,La Ronge,55.1001,-105.2842,66.45,32,75,6.91,CA,6/22/21 2:46
283,Olinda,-8.0089,-34.8553,74.93,78,20,2.3,BR,6/22/21 2:46
284,Cabinda,-5.55,12.2,72.12,89,95,6.04,AO,6/22/21 2:46
285,Zhigansk,66.7697,123.3711,82.87,34,91,9.55,RU,6/22/21 2:46
286,Roebourne,-20.7833,117.1333,64.26,40,59,12.44,AU,6/22/21 2:46
287,Chapais,49.7834,-74.8492,42.58,95,100,12.33,CA,6/22/21 2:46
288,Namibe,-15.1961,12.1522,66.81,79,15,7.29,AO,6/22/21 2:46
289,Antofagasta,-23.65,-70.4,56.48,79,100,4.52,CL,6/22/21 2:42
290,Srednekolymsk,67.45,153.6833,71.42,32,90,6.93,RU,6/22/21 2:46
291,Akyab,20.15,92.9,83.14,81,100,12.55,MM,6/22/21 2:46
292,Bandipur,27.9333,84.4167,72.75,85,78,2.35,NP,6/22/21 2:46
293,Vila Franca Do Campo,37.7167,-25.4333,63.01,78,55,5.88,PT,6/22/21 2:46
294,Mogadishu,2.0371,45.3438,76.48,84,56,14.47,SO,6/22/21 2:46
295,Ahipara,-35.1667,173.1667,60.19,69,1,12.73,NZ,6/22/21 2:46
296,Belaya Gora,68.5333,146.4167,75.16,24,5,11.59,RU,6/22/21 2:46
297,Beisfjord,68.3751,17.5988,55.04,97,100,2.57,NO,6/22/21 2:46
298,Iskateley,67.6803,53.1512,51.28,73,98,10.45,RU,6/22/21 2:46
299,Yarada,17.65,83.2667,86.32,70,100,10.36,IN,6/22/21 2:46
300,Atikokan,48.7555,-91.6216,45.73,65,100,5.68,CA,6/22/21 2:46
301,Coroico,-16.1889,-67.7271,65.14,91,100,0.87,BO,6/22/21 2:46
