City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
181,Arraial Do Cabo,BR,2021-06-22 03:37:40,-22.9661,-42.0278,68.49,80,16,10.11,few clouds,0,0
182,Kovdor,RU,2021-06-22 03:40:25,67.5662,30.4758,56.44,97,100,10.69,overcast clouds,0,0
183,Hasaki,JP,2021-06-22 03:37:33,35.7333,140.8333,80.19,74,66,9.19,broken clouds,0,0
184,Ponta Do Sol,PT,2021-06-22 03:37:51,32.6667,-17.1,69.01,70,24,4.12,few clouds,0,0
185,Pevek,RU,2021-06-22 03:37:35,69.7008,170.3133,40.84,69,6,6.38,clear sky,0,0
186,Rock Sound,BS,2021-06-22 03:40:25,24.9,-76.2,81.21,82,40,17.29,scattered clouds,0,0
187,Kaitangata,NZ,2021-06-22 03:37:50,-46.2817,169.8464,49.93,58,74,11.07,broken clouds,0,0
188,Bull Savanna,JM,2021-06-22 03:39:11,17.8868,-77.5902,76.64,86,18,9.86,few clouds,0,0
189,Pisco,PE,2021-06-22 03:38:22,-13.7,-76.2167,64.45,82,90,5.75,overcast clouds,0,0
190,Roebourne,AU,2021-06-22 03:40:26,-20.7833,117.1333,66.34,36,58,11.21,broken clouds,0,0
191,Kabanjahe,ID,2021-06-22 03:40:26,3.1001,98.4908,74.16,87,100,4.68,overcast clouds,0,0
192,Haslett,US,2021-06-22 03:40:26,42.747,-84.4011,53.65,77,1,6.91,clear sky,0,0
193,Coihaique,CL,2021-06-22 03:38:34,-45.5752,-72.0662,31.95,93,0,3.44,clear sky,0,0
194,Provideniya,RU,2021-06-22 03:37:37,64.3833,-173.3,48.31,76,90,8.95,overcast clouds,0,0
195,Dalbandin,PK,2021-06-22 03:40:27,28.8947,64.4101,90.5,7,0,9.26,clear sky,0,0
196,Acarau,BR,2021-06-22 03:40:27,-2.8856,-40.12,75.72,84,24,11.18,few clouds,0,0
197,Keita,NE,2021-06-22 03:40:27,14.7551,5.7749,79.18,63,58,13.35,broken clouds,0,0
198,Tuatapere,NZ,2021-06-22 03:37:37,-46.1333,167.6833,48.81,73,75,5.48,broken clouds,0,0
199,Luderitz,NA,2021-06-22 03:38:50,-26.6481,15.1594,59.47,75,0,6.08,clear sky,0,0
200,Uyskoye,RU,2021-06-22 03:40:28,54.3775,60.0047,68.54,59,57,6.6,broken clouds,0,0
201,Abnub,EG,2021-06-22 03:40:28,27.2696,31.1511,79.02,31,0,6.26,clear sky,0,0
202,Emba,KZ,2021-06-22 03:40:28,48.8264,58.1442,77.4,20,0,2.64,clear sky,0,0
203,Ulaangom,MN,2021-06-22 03:40:29,49.9811,92.0667,68.52,30,69,7.0,broken clouds,0,0
204,Amsterdam,NL,2021-06-22 03:39:19,52.374,4.8897,57.02,86,75,1.01,broken clouds,0,0
205,Duki,PK,2021-06-22 03:40:29,30.1541,68.5728,83.16,41,17,1.7,few clouds,0,0
206,Avera,US,2021-06-22 03:36:52,33.194,-82.5271,79.48,85,100,12.91,overcast clouds,0,0
207,Talnakh,RU,2021-06-22 03:38:16,69.4865,88.3972,40.28,87,100,11.43,light rain,0,0
208,Port Alfred,ZA,2021-06-22 03:37:41,-33.5906,26.891,69.82,36,5,19.6,clear sky,0,0
209,Fort Smith,US,2021-06-22 03:40:29,35.3859,-94.3986,67.33,88,99,4.34,overcast clouds,0,0
210,Pangai,TO,2021-06-22 03:39:37,-19.8,-174.35,80.71,65,20,2.3,few clouds,0,0
211,Jamestown,US,2021-06-22 03:37:49,42.097,-79.2353,63.09,82,90,10.36,overcast clouds,0,0
212,Ust-Kut,RU,2021-06-22 03:40:30,56.7938,105.7672,64.6,64,99,4.68,overcast clouds,0,0
213,Tuy Hoa,VN,2021-06-22 03:40:30,13.0833,109.3,95.32,47,24,5.99,few clouds,0,0
214,Orel-Izumrud,RU,2021-06-22 03:40:30,43.4583,39.9244,73.42,83,20,2.24,few clouds,0,0
215,Calabozo,VE,2021-06-22 03:40:31,8.9242,-67.4293,73.85,88,33,2.3,scattered clouds,0,0
216,Sioux Lookout,CA,2021-06-22 03:40:31,50.1001,-91.917,48.58,61,75,4.61,broken clouds,0,0
217,Casimcea,RO,2021-06-22 03:40:31,44.7333,28.3667,64.51,83,91,3.58,overcast clouds,0,0
218,Iralaya,HN,2021-06-22 03:40:31,15.0,-83.2333,81.39,84,48,13.4,scattered clouds,0,0
219,Norman Wells,CA,2021-06-22 03:37:59,65.282,-126.8329,57.24,94,90,12.66,light rain,0,0
220,Ust-Ilimsk,RU,2021-06-22 03:40:32,58.0006,102.6619,59.83,56,100,4.85,overcast clouds,0,0
